last name,county,votes,state,total votes,percent votes,fips
Biden,Hardin,520,TN,673,0.772659733,47071
Sanders,Hardin,153,TN,673,0.227340267,47071
Biden,Hardeman,1103,TN,1305,0.845210728,47069
Sanders,Hardeman,202,TN,1305,0.154789272,47069
Biden,Hancock,68,TN,106,0.641509434,47067
Sanders,Hancock,38,TN,106,0.358490566,47067
Biden,Hamilton,16286,TN,25709,0.633474659,47065
Sanders,Hamilton,9423,TN,25709,0.366525341,47065
Biden,Hamblen,994,TN,1670,0.595209581,47063
Sanders,Hamblen,676,TN,1670,0.404790419,47063
Biden,Grundy,265,TN,381,0.695538058,47061
Sanders,Grundy,116,TN,381,0.304461942,47061
Biden,Greene,1116,TN,1813,0.61555433,47059
Sanders,Greene,697,TN,1813,0.38444567,47059
Biden,Grainger,268,TN,424,0.632075472,47057
Sanders,Grainger,156,TN,424,0.367924528,47057
Biden,Giles,729,TN,1016,0.717519685,47055
Sanders,Giles,287,TN,1016,0.282480315,47055
Biden,Gibson,1272,TN,1628,0.781326781,47053
Sanders,Gibson,356,TN,1628,0.218673219,47053
Biden,Franklin,1225,TN,1812,0.676048565,47051
Sanders,Franklin,587,TN,1812,0.323951435,47051
Biden,Fentress,226,TN,356,0.634831461,47049
Sanders,Fentress,130,TN,356,0.365168539,47049
Biden,Fayette,1534,TN,1961,0.782253952,47047
Sanders,Fayette,427,TN,1961,0.217746048,47047
Biden,Dyer,647,TN,878,0.73690205,47045
Sanders,Dyer,231,TN,878,0.26309795,47045
Biden,Dickson,1195,TN,1898,0.629610116,47043
Sanders,Dickson,703,TN,1898,0.370389884,47043
Biden,Decatur,231,TN,320,0.721875,47039
Sanders,Decatur,89,TN,320,0.278125,47039
Biden,DeKalb,447,TN,650,0.687692308,47041
Sanders,DeKalb,203,TN,650,0.312307692,47041
Biden,Davidson,32798,TN,58344,0.562148636,47037
Sanders,Davidson,25546,TN,58344,0.437851364,47037
Biden,Cumberland,1423,TN,2037,0.698576338,47035
Sanders,Cumberland,614,TN,2037,0.301423662,47035
Biden,Crockett,348,TN,431,0.807424594,47033
Sanders,Crockett,83,TN,431,0.192575406,47033
Biden,Coffee,1124,TN,1795,0.626183844,47031
Sanders,Coffee,671,TN,1795,0.373816156,47031
Biden,Cocke,445,TN,769,0.578673602,47029
Sanders,Cocke,324,TN,769,0.421326398,47029
Biden,Clay,149,TN,226,0.659292035,47027
Sanders,Clay,77,TN,226,0.340707965,47027
Biden,Claiborne,444,TN,716,0.620111732,47025
Sanders,Claiborne,272,TN,716,0.379888268,47025
Biden,Chester,296,TN,435,0.68045977,47023
Sanders,Chester,139,TN,435,0.31954023,47023
Biden,Cheatham,880,TN,1639,0.536912752,47021
Sanders,Cheatham,759,TN,1639,0.463087248,47021
Biden,Carter,823,TN,1589,0.517935809,47019
Sanders,Carter,766,TN,1589,0.482064191,47019
Biden,Carroll,548,TN,768,0.713541667,47017
