last name,votes,state,winner,percent_votes,winner_state,fips,county,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Age,Gender,Net Worth,% Donations Under $200,Candidate Committee Money,Outside Money,Twitter Followers,legalize_cannabis,vote_incarcerated,gun_licenses,tax_wealthy_assets,paid_family_leave,job_guarantee,cancel_student_debt,ratify_NA_trade,raise_income_tax,rent_control,lower_debt,TPP,carbon_tax,north_korea_meet,free_college,children_public,ban_fracking,border_crossing_penalties,medicare_for_all,private_insurance,eliminate_electoral_college,eliminate_filibuster
Sanders,130,MN,0,0.23214285714285715,0,27121,Pope County,10984,10995,-0.1,10995,5.8,21.2,22.7,49.3,97.5,0.5,0.4,0.5,0.0,1.0,1.2,96.6,90.5,0.7,2.3,92.1,20.5,988,19.3,6544,79.7,10.1,148000,4758,2.26,29128,52350,9.2,367,3475,1.3,971,1366,0.0,0.0,0.0,0.0,0.0,0.0,82663,305508,103471,9428,12597,45,669.71,16.4,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,400,MN,0,0.33444816053511706,0,27119,Polk County,31704,31600,0.3,31600,6.4,23.4,17.1,49.9,93.7,1.4,1.7,1.1,0.0,2.1,5.9,88.6,84.0,2.6,7.7,89.1,21.9,2521,17.6,14698,70.7,18.3,128100,12663,2.38,25790,50695,12.6,777,9695,1.1,2183,2909,0.0,0.0,0.0,0.0,0.0,19.2,954096,336876,297780,9692,36677,68,1971.13,16.0,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,82,MN,0,0.2837370242214533,0,27117,Pipestone County,9281,9596,-3.3,9596,6.4,24.5,20.3,51.5,94.5,1.2,1.5,0.9,0.0,1.9,5.0,90.6,85.8,2.4,5.4,85.3,16.8,750,17.1,4478,72.7,15.1,90600,3924,2.36,24137,46019,10.7,333,3822,3.1,757,1342,0.0,0.0,0.0,0.0,0.0,0.0,0,158303,110916,11968,0,10,465.06,20.6,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,468,MN,0,0.34011627906976744,0,27115,Pine County,29095,29750,-2.2,29750,4.9,20.6,18.4,46.7,92.0,2.4,3.2,0.6,0.0,1.8,2.9,89.8,88.1,1.7,4.7,88.5,13.5,3023,29.2,17215,79.3,7.0,145500,11758,2.35,21413,43928,14.8,608,6908,4.7,1723,2633,0.0,0.0,0.0,0.0,0.0,20.7,0,6799,243454,8636,0,57,1411.29,21.1,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,193,MN,0,0.3464991023339318,0,27113,Pennington County,14058,13930,0.9,13930,6.7,23.1,16.4,50.2,94.0,1.3,1.9,0.9,0.0,1.8,3.4,91.4,88.6,2.1,4.6,89.8,16.1,1072,15.1,6377,75.4,17.2,107900,5806,2.35,24554,45633,10.9,393,9056,-4.6,893,1005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,209522,15204,43324,16,616.57,22.6,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,801,MN,0,0.2699696663296259,0,27111,Otter Tail County,57635,57303,0.6,57303,5.8,21.4,22.5,49.7,96.2,1.1,0.7,0.6,0.1,1.3,3.1,93.5,88.6,2.5,4.8,90.0,22.4,5684,20.4,35664,78.9,9.5,159700,24356,2.3,26400,48961,11.7,1690,19039,1.2,4684,6508,0.0,0.4,0.0,0.0,0.0,19.8,1054359,322526,704539,12366,62687,71,1972.07,29.1,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,5462,MN,0,0.39053339053339053,0,27109,Olmsted County,150287,144260,4.2,144248,7.1,24.7,14.0,51.1,85.7,5.7,0.3,6.2,0.1,2.1,4.5,81.7,86.3,9.7,12.6,94.3,40.1,9541,17.5,61766,74.9,21.3,171100,57262,2.5,34073,66252,8.0,3494,78672,-0.3,9421,10097,0.0,0.0,2.1,0.0,0.8,25.7,2971351,777919,2182050,15631,326873,639,653.35,220.8,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,102,MN,0,0.35789473684210527,0,27107,Norman County,6639,6852,-3.1,6852,5.3,23.2,21.8,50.5,94.1,0.5,2.2,0.5,0.1,2.6,4.9,89.7,93.4,1.4,5.0,88.6,14.3,566,22.6,3411,80.9,10.3,84000,2737,2.42,23707,45389,13.1,185,1188,-10.1,487,694,0.0,0.0,0.0,0.0,0.0,0.0,0,58396,52466,7965,0,12,872.79,7.9,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,253,MN,0,0.423785594639866,0,27105,Nobles County,21590,21378,1.0,21378,8.1,26.4,15.7,48.6,86.2,4.4,1.4,6.4,0.2,1.4,26.3,62.1,84.3,18.4,26.0,78.7,14.5,1380,17.4,8545,72.0,16.1,107800,7964,2.65,22598,48208,16.0,616,9392,3.3,1284,1712,0.0,0.0,0.0,0.0,3.5,21.1,951960,478177,303588,15111,26072,67,715.11,29.9,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,1331,MN,0,0.46135181975736567,0,27103,Nicollet County,33093,32727,1.1,32727,5.6,21.9,13.9,49.8,94.3,2.4,0.4,1.5,0.0,1.4,4.2,90.5,83.5,3.3,6.2,93.4,32.1,1961,16.0,13196,74.0,18.9,169800,12192,2.47,26674,60115,10.6,632,11975,2.4,2169,2858,0.0,0.0,0.0,0.0,0.0,27.6,872321,194274,164856,5186,25556,98,448.49,73.0,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,89,MN,0,0.2479108635097493,0,27101,Murray County,8470,8725,-2.9,8725,5.8,21.7,23.9,49.8,96.7,0.4,0.2,1.1,0.4,1.1,3.6,93.7,91.7,2.1,3.6,90.1,16.5,827,19.0,4596,81.6,7.3,95300,3820,2.22,27450,52160,10.6,315,2830,14.3,731,848,0.0,0.0,0.0,0.0,0.0,29.2,0,283172,46600,5492,0,25,704.7,12.4,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,781,MN,0,0.3425438596491228,0,27099,Mower County,39323,39163,0.4,39163,6.9,25.0,17.6,50.0,92.1,3.4,0.5,2.3,0.2,1.5,11.2,81.7,86.2,7.2,12.5,87.2,16.6,3076,17.5,16990,71.7,17.1,106000,15855,2.44,24990,46004,16.3,861,14009,-3.5,1945,2775,0.0,0.0,0.0,0.0,0.0,22.5,0,229753,347668,9133,41794,32,711.33,55.1,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
