,last name,county,votes,state,winner
488,Warren,Williamsburg,94,SC,0.0
489,Klobuchar,Williamsburg,45,SC,0.0
473,Biden,Union,1295,SC,1.0
474,Sanders,Union,429,SC,0.0
475,Steyer,Union,321,SC,0.0
477,Warren,Union,72,SC,0.0
478,Klobuchar,Union,34,SC,0.0
462,Biden,Sumter,8371,SC,1.0
463,Sanders,Sumter,1671,SC,0.0
464,Steyer,Sumter,1666,SC,0.0
466,Warren,Sumter,384,SC,0.0
467,Klobuchar,Sumter,122,SC,0.0
451,Biden,Spartanburg,9944,SC,1.0
452,Sanders,Spartanburg,5850,SC,0.0
453,Steyer,Spartanburg,2904,SC,0.0
455,Warren,Spartanburg,1814,SC,0.0
456,Klobuchar,Spartanburg,749,SC,0.0
440,Biden,Saluda,782,SC,1.0
441,Sanders,Saluda,261,SC,0.0
442,Steyer,Saluda,242,SC,0.0
444,Warren,Saluda,51,SC,0.0
445,Klobuchar,Saluda,26,SC,0.0
429,Biden,Richland,30040,SC,1.0
430,Sanders,Richland,10218,SC,0.0
431,Steyer,Richland,7128,SC,0.0
433,Warren,Richland,4705,SC,0.0
434,Klobuchar,Richland,1084,SC,0.0
418,Biden,Pickens,2483,SC,1.0
419,Sanders,Pickens,2111,SC,0.0
420,Steyer,Pickens,892,SC,0.0
422,Warren,Pickens,811,SC,0.0
423,Klobuchar,Pickens,372,SC,0.0
407,Biden,Orangeburg,9079,SC,1.0
409,Steyer,Orangeburg,1686,SC,0.0
408,Sanders,Orangeburg,1388,SC,0.0
411,Warren,Orangeburg,369,SC,0.0
412,Klobuchar,Orangeburg,72,SC,0.0
396,Biden,Oconee,2180,SC,1.0
397,Sanders,Oconee,1390,SC,0.0
398,Steyer,Oconee,742,SC,0.0
400,Warren,Oconee,404,SC,0.0
401,Klobuchar,Oconee,401,SC,0.0
385,Biden,Newberry,1784,SC,1.0
386,Sanders,Newberry,482,SC,0.0
387,Steyer,Newberry,460,SC,0.0
389,Warren,Newberry,124,SC,0.0
390,Klobuchar,Newberry,83,SC,0.0
374,Biden,McCormick,730,SC,1.0
376,Steyer,McCormick,381,SC,0.0
375,Sanders,McCormick,207,SC,0.0
379,Klobuchar,McCormick,54,SC,0.0
378,Warren,McCormick,42,SC,0.0
363,Biden,Marlboro,1474,SC,1.0
365,Steyer,Marlboro,485,SC,0.0
364,Sanders,Marlboro,308,SC,0.0
367,Warren,Marlboro,35,SC,0.0
368,Klobuchar,Marlboro,34,SC,0.0
352,Biden,Marion,2714,SC,1.0
353,Sanders,Marion,619,SC,0.0
354,Steyer,Marion,506,SC,0.0
356,Warren,Marion,78,SC,0.0
357,Klobuchar,Marion,38,SC,0.0
341,Biden,Lexington,9692,SC,1.0
342,Sanders,Lexington,5738,SC,0.0
343,Steyer,Lexington,2822,SC,0.0
345,Warren,Lexington,2087,SC,0.0
346,Klobuchar,Lexington,793,SC,0.0
330,Biden,Lee,1875,SC,1.0
332,Steyer,Lee,362,SC,0.0
331,Sanders,Lee,332,SC,0.0
334,Warren,Lee,53,SC,0.0
335,Klobuchar,Lee,11,SC,0.0
319,Biden,Laurens,2406,SC,1.0
320,Sanders,Laurens,993,SC,0.0
321,Steyer,Laurens,745,SC,0.0
323,Warren,Laurens,244,SC,0.0
324,Klobuchar,Laurens,120,SC,0.0
308,Biden,Lancaster,4328,SC,1.0
309,Sanders,Lancaster,1688,SC,0.0
312,Warren,Lancaster,566,SC,0.0
313,Klobuchar,Lancaster,422,SC,0.0
310,Steyer,Lancaster,365,SC,0.0
297,Biden,Kershaw,3547,SC,1.0
298,Sanders,Kershaw,1079,SC,0.0
299,Steyer,Kershaw,890,SC,0.0
301,Warren,Kershaw,305,SC,0.0
302,Klobuchar,Kershaw,143,SC,0.0
286,Biden,Jasper,1788,SC,1.0
288,Steyer,Jasper,571,SC,0.0
287,Sanders,Jasper,543,SC,0.0
290,Warren,Jasper,122,SC,0.0
291,Klobuchar,Jasper,110,SC,0.0
275,Biden,Horry,13281,SC,1.0
276,Sanders,Horry,6757,SC,0.0
277,Steyer,Horry,3841,SC,0.0
279,Warren,Horry,1724,SC,0.0
280,Klobuchar,Horry,1269,SC,0.0
264,Biden,Hampton,1116,SC,1.0
266,Steyer,Hampton,541,SC,0.0
265,Sanders,Hampton,318,SC,0.0
268,Warren,Hampton,40,SC,0.0
269,Klobuchar,Hampton,18,SC,0.0
253,Biden,Greenwood,2680,SC,1.0
255,Steyer,Greenwood,1084,SC,0.0
254,Sanders,Greenwood,1056,SC,0.0
257,Warren,Greenwood,239,SC,0.0
258,Klobuchar,Greenwood,165,SC,0.0
242,Biden,Greenville,20628,SC,1.0
243,Sanders,Greenville,13364,SC,0.0
244,Steyer,Greenville,5769,SC,0.0
246,Warren,Greenville,5202,SC,0.0
247,Klobuchar,Greenville,2351,SC,0.0
231,Biden,Georgetown,4776,SC,1.0
232,Sanders,Georgetown,1574,SC,0.0
233,Steyer,Georgetown,1018,SC,0.0
235,Warren,Georgetown,376,SC,0.0
236,Klobuchar,Georgetown,327,SC,0.0
220,Biden,Florence,8676,SC,1.0
221,Sanders,Florence,2635,SC,0.0
222,Steyer,Florence,1877,SC,0.0
224,Warren,Florence,607,SC,0.0
225,Klobuchar,Florence,221,SC,0.0
209,Biden,Fairfield,2352,SC,1.0
211,Steyer,Fairfield,774,SC,0.0
210,Sanders,Fairfield,428,SC,0.0
213,Warren,Fairfield,88,SC,0.0
214,Klobuchar,Fairfield,47,SC,0.0
198,Biden,Edgefield,1327,SC,1.0
199,Sanders,Edgefield,419,SC,0.0
200,Steyer,Edgefield,370,SC,0.0
202,Warren,Edgefield,89,SC,0.0
203,Klobuchar,Edgefield,44,SC,0.0
187,Biden,Dorchester,7657,SC,1.0
188,Sanders,Dorchester,3494,SC,0.0
189,Steyer,Dorchester,1509,SC,0.0
191,Warren,Dorchester,1189,SC,0.0
192,Klobuchar,Dorchester,403,SC,0.0
176,Biden,Dillon,1485,SC,1.0
177,Sanders,Dillon,362,SC,0.0
178,Steyer,Dillon,319,SC,0.0
180,Warren,Dillon,39,SC,0.0
181,Klobuchar,Dillon,38,SC,0.0
165,Biden,Darlington,4231,SC,1.0
166,Sanders,Darlington,1105,SC,0.0
167,Steyer,Darlington,911,SC,0.0
169,Warren,Darlington,208,SC,0.0
170,Klobuchar,Darlington,86,SC,0.0
154,Biden,Colleton,2318,SC,1.0
155,Sanders,Colleton,679,SC,0.0
156,Steyer,Colleton,526,SC,0.0
158,Warren,Colleton,174,SC,0.0
159,Klobuchar,Colleton,73,SC,0.0
143,Biden,Clarendon,2714,SC,1.0
144,Sanders,Clarendon,487,SC,0.0
145,Steyer,Clarendon,434,SC,0.0
147,Warren,Clarendon,83,SC,0.0
148,Klobuchar,Clarendon,61,SC,0.0
132,Biden,Chesterfield,1825,SC,1.0
133,Sanders,Chesterfield,537,SC,0.0
134,Steyer,Chesterfield,225,SC,0.0
136,Warren,Chesterfield,76,SC,0.0
137,Klobuchar,Chesterfield,44,SC,0.0
121,Biden,Chester,2033,SC,1.0
122,Sanders,Chester,633,SC,0.0
123,Steyer,Chester,223,SC,0.0
125,Warren,Chester,88,SC,0.0
126,Klobuchar,Chester,58,SC,0.0
110,Biden,Cherokee,1812,SC,1.0
111,Sanders,Cherokee,673,SC,0.0
112,Steyer,Cherokee,347,SC,0.0
114,Warren,Cherokee,106,SC,0.0
115,Klobuchar,Cherokee,66,SC,0.0
99,Biden,Charleston,28292,SC,1.0
100,Sanders,Charleston,12245,SC,0.0
103,Warren,Charleston,6932,SC,0.0
101,Steyer,Charleston,4734,SC,0.0
104,Klobuchar,Charleston,2302,SC,0.0
88,Biden,Calhoun,1118,SC,1.0
90,Steyer,Calhoun,302,SC,0.0
89,Sanders,Calhoun,288,SC,0.0
92,Warren,Calhoun,42,SC,0.0
93,Klobuchar,Calhoun,34,SC,0.0
77,Biden,Berkeley,10569,SC,1.0
78,Sanders,Berkeley,4597,SC,0.0
79,Steyer,Berkeley,2029,SC,0.0
81,Warren,Berkeley,1495,SC,0.0
82,Klobuchar,Berkeley,527,SC,0.0
66,Biden,Beaufort,10911,SC,1.0
67,Sanders,Beaufort,3644,SC,0.0
68,Steyer,Beaufort,2937,SC,0.0
70,Warren,Beaufort,1648,SC,0.0
71,Klobuchar,Beaufort,1308,SC,0.0
55,Biden,Barnwell,1068,SC,1.0
57,Steyer,Barnwell,308,SC,0.0
56,Sanders,Barnwell,274,SC,0.0
59,Warren,Barnwell,49,SC,0.0
60,Klobuchar,Barnwell,26,SC,0.0
44,Biden,Bamberg,1099,SC,1.0
46,Steyer,Bamberg,387,SC,0.0
45,Sanders,Bamberg,277,SC,0.0
48,Warren,Bamberg,43,SC,0.0
49,Klobuchar,Bamberg,19,SC,0.0
33,Biden,Anderson,5553,SC,1.0
34,Sanders,Anderson,3121,SC,0.0
35,Steyer,Anderson,1801,SC,0.0
37,Warren,Anderson,984,SC,0.0
38,Klobuchar,Anderson,524,SC,0.0
22,Biden,Allendale,552,SC,1.0
24,Steyer,Allendale,241,SC,0.0
23,Sanders,Allendale,119,SC,0.0
26,Warren,Allendale,17,SC,0.0
27,Klobuchar,Allendale,2,SC,0.0
11,Biden,Aiken,6765,SC,1.0
12,Sanders,Aiken,3169,SC,0.0
13,Steyer,Aiken,1986,SC,0.0
15,Warren,Aiken,1030,SC,0.0
16,Klobuchar,Aiken,607,SC,0.0
0,Biden,Abbeville,1129,SC,1.0
2,Steyer,Abbeville,312,SC,0.0
1,Sanders,Abbeville,286,SC,0.0
4,Warren,Abbeville,60,SC,0.0
5,Klobuchar,Abbeville,42,SC,0.0
